(1720186.68841) AA 5813.322512000 BeIV Beryllium
(1720184.50175) AA 5813.329901000 BeIV Beryllium
(1707247.04668) AA 5857.383101000 BeIV Beryllium
(1707243.57429) AA 5857.395014000 BeIV Beryllium
(1685787.023070) AA 5931.947431000 BeIV Beryllium
(1685781.02269) AA 5931.968545000 BeIV Beryllium
(1646280.88582) AA 6074.297580000 BeIV Beryllium
(1646269.16610) AA 6074.340822000 BeIV Beryllium
(1560928.30867) AA 6406.444130000 BeIV Beryllium
(1560900.52810) AA 6406.558150000 BeIV Beryllium
(1317073.002568) AA 7592.593562000 BeIV Beryllium
(1316979.24398) AA 7593.134095000 BeIV Beryllium
2441800.  7609.8000 BeIII Beryllium
2428700.  7648.1000 BeIII Beryllium
2428700.  7648.1000 BeIII Beryllium
2428700.  7648.1000 BeIII Beryllium
2229896.  7853.0000 BeIII Beryllium
2229896.  7853.0000 BeIII Beryllium
2229896.  7853.0000 BeIII Beryllium
2254680.  7865.8000 BeIII Beryllium
2254680.  7865.8000 BeIII Beryllium
2254680.  7865.8000 BeIII Beryllium
2254680.  7865.9000 BeIII Beryllium
2254680.  7865.9000 BeIII Beryllium
2254680.  7865.9000 BeIII Beryllium
2264536.  7892.1000 BeIII Beryllium
2214500+x  8085.000 BeII Beryllium
2214500+x  8085.000 BeII Beryllium
2214500+x  8085.000 BeII Beryllium
1221135. AAA 8189.1000 BeIII Beryllium
1213931. AAA 8237.7000 BeIII Beryllium
1210900a  8258.000 BeII Beryllium
1210900a  8258.000 BeII Beryllium
1201894. AAA 8320.2000 BeIII Beryllium
1195600a  8364.000 BeII Beryllium
1195600a  8364.000 BeII Beryllium
1179830. AAA 8475.8000 BeIII Beryllium
1132390. AAA 8830.9000 BeIII Beryllium
1121600  8916.000 BeI Beryllium
1108200  9024.000 BeI Beryllium
1102900  9067.000 BeI Beryllium
1124040  9156.6000 BeII Beryllium
1124040  9156.6000 BeII Beryllium
1124040  9156.6000 BeII Beryllium
1124040  9156.6000 BeII Beryllium
1084600  9220.000 BeI Beryllium
1112700  9253.000 BeII Beryllium
1112700  9253.000 BeII Beryllium
1112700  9253.000 BeII Beryllium
1112700  9253.000 BeII Beryllium
1073400a  9316.000 BeII Beryllium
1073400a  9316.000 BeII Beryllium
1070300a  9343.000 BeII Beryllium
1070300a  9343.000 BeII Beryllium
1098900  9372.000 BeII Beryllium
1098900  9372.000 BeII Beryllium
1098900  9372.000 BeII Beryllium
1098900  9372.000 BeII Beryllium
1064600a  9393.000 BeII Beryllium
1064600a  9393.000 BeII Beryllium
1088900  9461.000 BeII Beryllium
1088900  9461.000 BeII Beryllium
1088900  9461.000 BeII Beryllium
1088900  9461.000 BeII Beryllium
1087000a  9478.000 BeII Beryllium
1087000a  9478.000 BeII Beryllium
1087000a  9478.000 BeII Beryllium
1080800a  9534.000 BeII Beryllium
1080800a  9534.000 BeII Beryllium
1077700a  9562.000 BeII Beryllium
1077700a  9562.000 BeII Beryllium
1077700a  9562.000 BeII Beryllium
1044600a  9573.0000 BeII Beryllium
1044600a  9573.0000 BeII Beryllium
