6.450  196.2340 MoVI Molybdenum
5.400  197.1600 MoVI Molybdenum
33.500  198.8170 MoVI Molybdenum
39.200  199.8280 MoVI Molybdenum
9.200  200.7880 MoVI Molybdenum
7.850  201.7290 MoVI Molybdenum
56.200  204.6190 MoVI Molybdenum
66.600  205.6900 MoVI Molybdenum
14.400  207.7520 MoVI Molybdenum
12.600  208.6920 MoVI Molybdenum
2.880  213.0180 MoVI Molybdenum
114.000  213.7550 MoVI Molybdenum
58.700  214.1950 MoVI Molybdenum
13.700  214.4070 MoVI Molybdenum
141.000  214.8880 MoVI Molybdenum
9.800  214.9420 MoVI Molybdenum
106.000  215.5980 MoVI Molybdenum
55.500  215.5980 MoVI Molybdenum
3.820  216.1800 MoVI Molybdenum
80.300  217.3940 MoVI Molybdenum
127.000  217.8920 MoVI Molybdenum
92.200  218.2380 MoVI Molybdenum
0.778  218.9550 MoVI Molybdenum
36.200  219.0630 MoVI Molybdenum
1.270  219.1260 MoVI Molybdenum
5.200  219.3910 MoVI Molybdenum
0.002  219.4770 MoVI Molybdenum
0.012  219.8470 MoVI Molybdenum
27.200  220.2010 MoVI Molybdenum
0.202  220.6420 MoVI Molybdenum
0.075  221.3190 MoVI Molybdenum
36.500  222.5920 MoVI Molybdenum
8.540  224.4830 MoVI Molybdenum
144.000  226.4690 MoVI Molybdenum
25.000  227.8010 MoVI Molybdenum
12.500  228.3680 MoVI Molybdenum
310.000  229.2620 MoVI Molybdenum
189.000  229.6770 MoVI Molybdenum
9.480  229.7230 MoVI Molybdenum
40.500  230.3480 MoVI Molybdenum
380.000  230.4330 MoVI Molybdenum
34.700  230.6280 MoVI Molybdenum
22.800  230.8500 MoVI Molybdenum
0.040  231.7280 MoVI Molybdenum
182.000  232.2330 MoVI Molybdenum
18.900  233.1130 MoVI Molybdenum
226.000  234.1870 MoVI Molybdenum
0.188  234.4650 MoVI Molybdenum
1.120  235.8980 MoVI Molybdenum
0.260  237.7190 MoVI Molybdenum
7.520  239.1880 MoVI Molybdenum
6.900  239.4090 MoVI Molybdenum
29.200  240.3470 MoVI Molybdenum
76.000  241.0500 MoVI Molybdenum
115.000  241.8470 MoVI Molybdenum
3100.000  241.9670 MoVI Molybdenum
115.000  242.2500 MoVI Molybdenum
278.000  243.4860 MoVI Molybdenum
3180.000  243.7730 MoVI Molybdenum
194.000  245.1550 MoVI Molybdenum
2270.000  246.7170 MoVI Molybdenum
2480.000  248.0650 MoVI Molybdenum
110.000 E 248.7590 MoV Molybdenum
710.000 C 249.7400 MoV Molybdenum
40.000 E 249.8920 MoV Molybdenum
11.000 E 251.0070 MoV Molybdenum
1700.000  252.3020 MoVI Molybdenum
7.000 E 253.1030 MoV Molybdenum
400.000 E 253.4010 MoV Molybdenum
460.000 C 253.5990 MoV Molybdenum
1530.000  253.7790 MoVI Molybdenum
200.000 D 253.8200 MoV Molybdenum
320.000 D 254.0990 MoV Molybdenum
430.000 C 254.1200 MoV Molybdenum
160.000 D 254.4080 MoV Molybdenum
430.000 C 255.2740 MoV Molybdenum
24.700  255.4430 MoVI Molybdenum
50.000 E 255.7750 MoV Molybdenum
1.800 E 255.8420 MoV Molybdenum
190.000 E 256.2840 MoV Molybdenum
80.000 E 256.4800 MoV Molybdenum
31.000 E 256.7100 MoV Molybdenum
14.000 E 256.7620 MoV Molybdenum
50.000 E 256.9440 MoV Molybdenum
110.000 E 257.3390 MoV Molybdenum
21.000 E 257.7380 MoV Molybdenum
18.000 E 257.7560 MoV Molybdenum
16.000 E 257.8610 MoV Molybdenum
270.000 D 258.0690 MoV Molybdenum
560.000 C 258.3330 MoV Molybdenum
0.014 E 258.4500 MoV Molybdenum
930.000 C 258.5070 MoV Molybdenum
70.000 E 258.8140 MoV Molybdenum
130.000 E 258.9990 MoV Molybdenum
840.000 C 259.0510 MoV Molybdenum
470.000 C 259.0510 MoV Molybdenum
10.000 E 259.3890 MoV Molybdenum
170.000 E 259.4490 MoV Molybdenum
13.000 E 259.7030 MoV Molybdenum
190.000 E 259.7820 MoV Molybdenum
80.000 E 259.8040 MoV Molybdenum
410.000 C 259.8930 MoV Molybdenum
150.000 E 260.1190 MoV Molybdenum
17.000 E 260.1190 MoV Molybdenum
50.000 E 260.2300 MoV Molybdenum
330.000 E 260.4850 MoV Molybdenum
210.000 E 260.5160 MoV Molybdenum
12.000 E 260.5590 MoV Molybdenum
50.000 E 260.8800 MoV Molybdenum
19.000 E 260.8800 MoV Molybdenum
140.000 D 261.6120 MoV Molybdenum
180.000 E 262.1010 MoV Molybdenum
410.000 C 262.3950 MoV Molybdenum
420.000 C 262.4430 MoV Molybdenum
30.000 E 263.1070 MoV Molybdenum
350.000 C 263.2110 MoV Molybdenum
15.000 E 264.0320 MoV Molybdenum
9.650  264.1480 MoVI Molybdenum
19.000 E 264.3980 MoV Molybdenum
380.000 C 265.3220 MoV Molybdenum
150.000 E 265.4420 MoV Molybdenum
