24500.000  8.45880 NaXI Sodium
24500.000  8.45880 NaXI Sodium
37400.000 A+ 9.4280 NaX Sodium
91600.000  10.0270 NaXI Sodium
91800.000  10.0270 NaXI Sodium
135000.000 A+ 11.0050 NaX Sodium
140.000  11.0880 NaX Sodium
122.000 C+ 44.7250 NaIX Sodium
123.000 C+ 44.7250 NaIX Sodium
195.000 B+ 46.0900 NaIX Sodium
195.000 B+ 46.0900 NaIX Sodium
187.000 B 47.7760 NaIX Sodium
223.000 B 47.8360 NaIX Sodium
37.000 C+ 47.8360 NaIX Sodium
336.000 A 48.5530 NaIX Sodium
337.000 B+ 48.5530 NaIX Sodium
304.000 B+ 49.3260 NaIX Sodium
365.000 B+ 49.3860 NaIX Sodium
60.700 B+ 49.3860 NaIX Sodium
563.000 A 52.1160 NaIX Sodium
674.000 A 52.1860 NaIX Sodium
112.000 B+ 52.1860 NaIX Sodium
88.800 B+ 52.4870 NaIX Sodium
178.000 D 53.7500 NaVIII Sodium
640.000 A 53.8600 NaIX Sodium
444.000 D 54.3800 NaVIII Sodium
250.000 D 55.3450 NaVIII Sodium
332.000 D 55.3960 NaVIII Sodium
450.000 D+ 57.1190 NaVIII Sodium
404.000 D 57.2300 NaVIII Sodium
404.000 D 58.0700 NaVIII Sodium
1220.000 A 58.2010 NaIX Sodium
1460.000 A 58.2790 NaIX Sodium
90.500 B+ 58.9540 NaIX Sodium
335.000 D 59.0090 NaVIII Sodium
182.000 B+ 59.0420 NaIX Sodium
253.000 D 59.1010 NaVIII Sodium
379.000 D+ 59.2040 NaVIII Sodium
94.400 E 59.2490 NaVIII Sodium
847.000 D+ 59.7590 NaVIII Sodium
103.000 E 59.9920 NaVIII Sodium
309.000 D 60.0530 NaVIII Sodium
815.000 D+ 60.0730 NaVIII Sodium
1010.000 C 61.0880 NaVIII Sodium
266.000 D 61.3470 NaVIII Sodium
528.000 D+ 62.2760 NaVIII Sodium
504.000 D+ 63.1140 NaVIII Sodium
165.000 D+ 63.1850 NaVII Sodium
197.000 D+ 63.2270 NaVII Sodium
193.000 D 63.3610 NaVII Sodium
240.000 D+ 63.4420 NaVII Sodium
459.000 D 63.6950 NaVIII Sodium
125.000 D+ 64.1130 NaVII Sodium
717.000 D+ 64.2050 NaVIII Sodium
