14.100  1433.960 Pb Lead 2
11.800  1822.0500 Pb Lead 2
0.059 C+ 2022.66810 Pb Lead 1
0.102 C 2053.94130 Pb Lead 1
1.470 C+ 2170.68540 Pb Lead 1
4.940  2204.2220 Pb Lead 2
0.240 C 2402.670670 Pb Lead 1
0.186 C+ 2446.921980 Pb Lead 1
0.260 C+ 2477.125710 Pb Lead 1
0.510 C+ 2578.031310 Pb Lead 1
0.220 C+ 2614.43520 Pb Lead 1
1.980 C+ 2614.95510 Pb Lead 1
0.041 D 2629.046120 Pb Lead 1
0.001 C+ 2657.884400 Pb Lead 1
0.670 C+ 2663.94570 Pb Lead 1
1.610 C+ 2802.82110 Pb Lead 1
0.270 C+ 2824.02030 Pb Lead 1
0.490 C+ 2833.88680 Pb Lead 1
0.380 C+ 2874.15430 Pb Lead 1
0.990 C+ 3573.74930 Pb Lead 1
0.320 C+ 3640.60500 Pb Lead 1
0.310 C 3672.53690 Pb Lead 1
1.370 B 3684.51120 Pb Lead 1
0.730 B 3740.99860 Pb Lead 1
0.035 C+ 4020.76820 Pb Lead 1
0.900 C+ 4058.95280 Pb Lead 1
0.920 B 4063.28320 Pb Lead 1
0.012 D+ 4169.20780 Pb Lead 1
0.270 C+ 5006.812640 Pb Lead 1
0.140 C 5202.885490 Pb Lead 1
0.008 C+ 7230.95750 Pb Lead 1
